Blida Airport,Blida,Africa/Algiers
Bou Saada Airport,Bou Saada,Africa/Algiers
Soummam Airport,Bejaja,Africa/Algiers
Houari Boumediene Airport,Algier,Africa/Algiers
Djanet Inedbirene Airport,Djanet,Africa/Algiers
Boufarik Airport,Boufarik,Africa/Algiers
Reggane Airport,Reggan,Africa/Algiers
Illizi Takhamalt Airport,Illizi,Africa/Algiers
Ain Oussera Airport,Ain Oussera,Africa/Algiers
Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Africa/Algiers
Jijel Ferhat Abbas Airport,Jijel,Africa/Algiers
Mecheria Airport,Mecheria,Africa/Algiers
Relizane Airport,Relizane,Africa/Algiers
Rabah Bitat Airport,Annaba,Africa/Algiers
Mohamed Boudiaf International Airport,Constantine,Africa/Algiers
Cheikh Larbi Tébessi Airport,Tebessa,Africa/Algiers
Hassi R'Mel Airport,Tilrempt,Africa/Algiers
Bou Chekif Airport,Tiaret,Africa/Algiers
Bou Sfer Airport,Bou Sfer,Africa/Algiers
Tindouf Airport,Tindouf,Africa/Algiers
Ech Cheliff Airport,Ech-cheliff,Africa/Algiers
Tafaraoui Airport,Oran,Africa/Algiers
Zenata – Messali El Hadj Airport,Tlemcen,Africa/Algiers
Es Senia Airport,Oran,Africa/Algiers
Sidi Bel Abbes Airport,Sidi Bel Abbes,Africa/Algiers
Ghriss Airport,Ghriss,Africa/Algiers
Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Africa/Algiers
Biskra Airport,Biskra,Africa/Algiers
El Golea Airport,El Golea,Africa/Algiers
Noumérat - Moufdi Zakaria Airport,Ghardaia,Africa/Algiers
Oued Irara Airport,Hassi Messaoud,Africa/Algiers
In Salah Airport,In Salah,Africa/Algiers
Touggourt Sidi Madhi Airport,Touggourt,Africa/Algiers
Laghouat Airport,Laghouat,Africa/Algiers
Timimoun Airport,Timimoun,Africa/Algiers
Ain el Beida Airport,Ouargla,Africa/Algiers
In Aménas Airport,Zarzaitine,Africa/Algiers
Cadjehoun Airport,Cotonou,Africa/Porto-Novo
Ouagadougou Airport,Ouagadougou,Africa/Ouagadougou
Bobo Dioulasso Airport,Bobo-dioulasso,Africa/Ouagadougou
Kotoka International Airport,Accra,Africa/Accra
Tamale Airport,Tamale,Africa/Accra
Wa Airport,Wa,Africa/Accra
Sunyani Airport,Sunyani,Africa/Accra
Takoradi Airport,Takoradi,Africa/Accra
Port Bouet Airport,Abidjan,Africa/Abidjan
Bouaké Airport,Bouake,Africa/Abidjan
Daloa Airport,Daloa,Africa/Abidjan
Korhogo Airport,Korhogo,Africa/Abidjan
Man Airport,Man,Africa/Abidjan
San Pedro Airport,San Pedro,Africa/Abidjan
Yamoussoukro Airport,Yamoussoukro,Africa/Abidjan
Nnamdi Azikiwe International Airport,Abuja,Africa/Lagos
Akure Airport,Akure,Africa/Lagos
Benin Airport,Benin,Africa/Lagos
Margaret Ekpo International Airport,Calabar,Africa/Lagos
Akanu Ibiam International Airport,Enugu,Africa/Lagos
Gusau Airport,Gusau,Africa/Lagos
Ibadan Airport,Ibadan,Africa/Lagos
Ilorin International Airport,Ilorin,Africa/Lagos
Yakubu Gowon Airport,Jos,Africa/Lagos
Kaduna Airport,Kaduna,Africa/Lagos
Mallam Aminu International Airport,Kano,Africa/Lagos
Maiduguri International Airport,Maiduguri,Africa/Lagos
Makurdi Airport,Makurdi,Africa/Lagos
Murtala Muhammed International Airport,Lagos,Africa/Lagos
Minna Airport,Minna,Africa/Lagos
Port Harcourt International Airport,Port Hartcourt,Africa/Lagos
Sadiq Abubakar III International Airport,Sokoto,Africa/Lagos
Yola Airport,Yola,Africa/Lagos
Zaria Airport,Zaria,Africa/Lagos
Maradi Airport,Maradi,Africa/Niamey
Diori Hamani International Airport,Niamey,Africa/Niamey
Tahoua Airport,Tahoua,Africa/Niamey
Mano Dayak International Airport,Agadez,Africa/Niamey
Dirkou Airport,Dirkou,Africa/Niamey
Diffa Airport,Diffa,Africa/Niamey
Zinder Airport,Zinder,Africa/Niamey
Monastir Habib Bourguiba International Airport,Monastir,Africa/Tunis
Tunis Carthage International Airport,Tunis,Africa/Tunis
Sidi Ahmed Air Base,Bizerte,Africa/Tunis
Remada Air Base,Remada,Africa/Tunis
Gafsa Ksar International Airport,Gafsa,Africa/Tunis
Gabès Matmata International Airport,Gabes,Africa/Tunis
Borj El Amri Airport,Bordj El Amri,Africa/Tunis
Djerba Zarzis International Airport,Djerba,Africa/Tunis
El Borma Airport,El Borma,Africa/Tunis
Sfax Thyna International Airport,Sfax,Africa/Tunis
Tozeur Nefta International Airport,Tozeur,Africa/Tunis
Niamtougou International Airport,Niatougou,Africa/Lome
Lomé-Tokoin Airport,Lome,Africa/Lome
Alexander Bay Airport,Alexander Bay,Africa/Johannesburg
Aggeneys Airport,Aggeneys,Africa/Johannesburg
Brakpan Airport,Brakpan,Africa/Johannesburg
Bisho Airport,Bisho,Africa/Johannesburg
Bram Fischer International Airport,Bloemfontein,Africa/Johannesburg
Bethlehem Airport,Bethlehem,Africa/Johannesburg
Hendrik Potgieter Airport,Bothaville,Africa/Johannesburg
Cape Town International Airport,Cape Town,Africa/Johannesburg
Calvinia Airport,Calvinia,Africa/Johannesburg
King Shaka International Airport,Durban,Africa/Johannesburg
Ben Schoeman Airport,East London,Africa/Johannesburg
Ermelo Airport,Ermelo,Africa/Johannesburg
Ficksburg Sentraoes Airport,Ficksburg,Africa/Johannesburg
Grand Central Airport,Johannesburg,Africa/Johannesburg
George Airport,George,Africa/Johannesburg
Graaff Reinet Airport,Graaff Reinet,Africa/Johannesburg
Grahamstown Airport,Grahamstown,Africa/Johannesburg
Greytown Airport,Greytown,Africa/Johannesburg
Harmony Airport,Harmony,Africa/Johannesburg
Harrismith Airport,Harrismith,Africa/Johannesburg
Hoedspruit Air Force Base Airport,Hoedspruit,Africa/Johannesburg
Gariep Dam Airport,Hendrik Verwoerddam,Africa/Johannesburg
OR Tambo International Airport,Johannesburg,Africa/Johannesburg
P C Pelser Airport,Klerksdorp,Africa/Johannesburg
Kimberley Airport,Kimberley,Africa/Johannesburg
Krugersdorp Airport,Krugersdorp,Africa/Johannesburg
Kroonstad Airport,Kroonstad,Africa/Johannesburg
Johan Pienaar Airport,Kuruman,Africa/Johannesburg
Kleinsee Airport,Kleinsee,Africa/Johannesburg
Lanseria Airport,Johannesburg,Africa/Johannesburg
Lichtenburg Airport,Lichtenburg,Africa/Johannesburg
